subject	source	duration	card_class	show_order	fix_freq	sacc_freq	pd_right_mean	pd_right_std	pd_right_min	pd_right_max	pd_left_mean	pd_left_std	pd_left_min	pd_left_max	sre_fix_freq	sre_sacc_freq	sre_pd_right_mean	sre_pd_right_std	sre_pd_right_min	sre_pd_right_max	sre_pd_left_mean	sre_pd_left_std	sre_pd_left_min	sre_pd_left_max	srl_fix_freq	srl_sacc_freq	srl_pd_right_mean	srl_pd_right_std	srl_pd_right_min	srl_pd_right_max	srl_pd_left_mean	srl_pd_left_std	srl_pd_left_min	srl_pd_left_max	label
4	frontiers	2783	unicorn	1	2.1559468199784404	12.935680919870643	4.116748768472907	0.16022654424641725	3.7	4.56	4.395132275132276	0.23005228005642112	3.9	5.28	3.0	22.0	4.104038461538463	0.13790751953117428	3.7	4.42	4.441111111111112	0.23346652164515727	3.96	5.28	4.0	18.0	4.127711864406779	0.16679180439062016	3.76	4.56	4.3701801801801805	0.2277877081127074	3.9	5.18	1
4	frontiers	2383	pepper	4	5.035669324381033	7.133864876206462	3.7165921787709504	0.13056534867859604	3.24	4.18	3.949885714285715	0.24022017814943802	3.33	5.06	8.0	11.0	3.706320754716982	0.11626181841981538	3.24	3.97	3.9507547169811317	0.2535789465243425	3.33	5.01	8.0	12.0	3.7542372881355934	0.1255239057128301	3.39	4.18	4.015412844036694	0.26433891023292955	3.61	5.06	0
4	frontiers	2368	minion	5	3.3783783783783785	9.712837837837839	3.7285534591194955	0.17468900568242188	3.15	4.56	4.039437499999999	0.30747755836706364	3.51	5.05	5.0	15.0	3.6960747663551405	0.19883982844521902	3.15	4.56	3.996788990825687	0.30584697436712954	3.51	4.92	5.0	17.0	3.7974193548387105	0.12566261961754757	3.43	4.56	4.071752577319588	0.26796303503343494	3.69	5.05	0
4	frontiers	2349	pig	2	2.979991485738612	11.068539804171987	4.012994350282482	0.14851371597107013	3.68	4.54	4.412077922077923	0.2614381425599495	3.95	5.08	6.0	13.0	3.9740833333333327	0.10023079110030926	3.73	4.19	4.336355140186916	0.2193403167964928	3.97	4.96	3.0	20.0	4.080280373831777	0.15311518628652435	3.68	4.54	4.516043956043955	0.2592119644052768	3.95	5.08	0
4	frontiers	2126	hedge	3	2.8222013170272815	8.466603951081844	3.744177215189871	0.13812767651324276	3.24	4.34	4.072482269503547	0.2606123449229547	3.58	5.27	4.0	14.0	3.764358974358972	0.11429230987030893	3.42	4.34	4.086631578947371	0.21526139738682176	3.66	4.88	5.0	12.0	3.713592233009709	0.15530396740593472	3.24	4.34	4.050666666666666	0.28469709499296947	3.58	5.27	0
4	frontiers	3228	aliens	6	2.4783147459727384	8.0545229244114	3.825434782608696	0.1456128037626658	3.22	4.41	4.137912621359224	0.2654329406578349	3.61	5.12	5.0	14.0	3.8423595505617967	0.11946873375595082	3.22	4.04	4.101467889908259	0.24583126435315197	3.61	4.98	2.0	11.0	3.7967058823529416	0.16923770431031052	3.43	4.41	4.166543209876543	0.2874246009557426	3.71	5.1	0
5	frontiers	2808	unicorn	4	0.7122507122507123	0.3561253561253562	3.197573529411764	0.05101192777771809	3.06	3.3	3.1102127659574457	0.07149893191116695	2.88	3.38	1.0	0.0	3.1033333333333335	0.023094010767585063	3.06	3.14	2.971538461538462	0.05320497374089408	2.88	3.04	2.0	1.0	3.1981481481481473	0.050758209176288496	3.06	3.3	3.1118571428571418	0.06902804887396387	2.9	3.38	0
5	frontiers	2197	pepper	6	1.3654984069185252	1.8206645425580337	3.033402777777779	0.044204913729407894	2.93	3.19	2.956712328767121	0.06051627981638744	2.8	3.05	2.0	3.0	3.020405405405404	0.05631222133561419	2.93	3.19	2.917307692307692	0.05373511456638519	2.8	3.01	3.0	3.0	3.034084507042255	0.04403665348848033	2.93	3.19	2.9576551724137903	0.059640285055762084	2.8	3.05	0
5	frontiers	2480	minion	5	1.6129032258064517	1.2096774193548387	3.1813559322033904	0.058205578113120264	2.95	3.3	3.1308943089430894	0.08269049670932521	2.84	3.25	1.0	0.0	3.1185	0.07527318667081223	2.95	3.3	3.0824000000000003	0.1074430081485064	2.84	3.24	4.0	3.0	3.1813559322033904	0.058205578113120264	2.95	3.3	3.1308943089430894	0.08269049670932521	2.84	3.25	0
5	frontiers	2945	pig	1	1.697792869269949	2.376910016977929	3.2966666666666677	0.09782433235141452	3.02	3.43	3.2460317460317474	0.12816055027348797	2.98	3.42	4.0	6.0	3.2350000000000008	0.08579163176926204	3.02	3.42	3.139	0.09488589638788968	2.98	3.39	2.0	2.0	3.3372368421052627	0.08329223547983373	3.05	3.43	3.308959999999998	0.09832323257763716	3.09	3.42	1
